;;;;;;;;;;;;;;;;;
classificação;código;ORÇADO;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;Fórmula;Despesa
3.2.1.01;103;Receita Bruta;593650;643002;733964;746122;803669;828975;886467;947359;1084156;1119268;1215214;1230546;10832393;SUM;N
3.2.1.01.001;104;Receita de Produtos;184300;204300;206100;231560;217500;223800;234900;234900;284600;253500;288200;262100;2825760;;N
3.2.1.01.002;119;Receita de Servicos;409350;438702;527864;514562;586169;605175;651567;712459;799556;865768;927014;968446;8006633;;N
3.2.1.02;2396;( - ) Deduções;39851;42747;48580;50297;53784;55817;59573;64193;73468;76211;83208;84734;732465;SUM;S
3.2.1.02.001;105;Devoluções;9375;9883;10612;12074;12105;12835;13565;14744;17174;17421;19582;19829;169199;;S
3.2.1.02.002;106;ICMS;621;621;621;698;621;621;621;621;731;621;731;621;7751;;S
3.2.1.02.003;107;ISSQN s/ Servicos;8187;8774;10557;10291;11723;12104;13031;14249;15991;17315;18540;19369;160133;;S
3.2.1.02.004;108;Pis s/ Faturamento;3859;4180;4771;4850;5224;5388;5762;6158;7047;7275;7899;7999;70411;;S
3.2.1.02.005;109;Cofins;17810;19290;22019;22384;24110;24869;26594;28421;32525;33578;36456;36916;324972;;S
3.2.1.02.006;936;Remessa de Mercadoria;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;1050;Receita Líquida de Vendas;553799;600255;685384;695825;749885;773158;826894;883166;1010688;1043057;1132006;1145813;10099929;F: 103 - 2396;N
;110;( - ) Custo dos produtos/serviços vendidos;625001;155907;171190;174833;196408;195001;197294;200543;194723;193542;197272;202337;2230337;F: 1405 + 120;S
3.2.1.03;1405;Custos operacionais;119935;119909;131987;130672;140661;139248;139104;139944;135626;134527;135774;140846;1608231;SUM;S
3.2.1.03.001;111;Compra de Embalagens;0;0;2000;0;0;2000;0;0;2000;0;0;2000;8000;;S
3.2.1.03.002;112;Compra de CD's;500;0;0;500;0;0;500;0;0;500;0;0;2000;;S
3.2.1.03.003;113;Compra de Etiquetas;0;100;100;0;100;100;0;100;100;0;100;100;800;;S
3.2.1.03.004;114;Impressos;800;800;800;800;800;800;800;800;800;800;800;800;9600;;S
;;(-) Cred Pis-Cofins - Insumos;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.03.006;116;Serviços de Terceiros PJ;106040;106114;111774;115651;121204;121154;121424;121628;119554;119707;119932;123262;1407442;;S
3.2.1.03.007;117;Serviços de Terceiros PF;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;;(-) Cred Pis-Cofins - PJ custo;11666;11966;14584;10992;15828;12465;13651;14687;10443;10791;12213;11955;151241;;S
3.2.1.03.008;2697;Custos de Viagens;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.03.009;2698;Custos em Implementacao;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.03.998;211;Outros Custos;929;929;2729;2729;2729;2729;2729;2729;2729;2729;2729;2729;29148;;S
3.2.1.04;120;Custos com Pessoal;31351;35998;39203;44162;55747;55753;58190;60599;59098;59016;61498;61491;622106;SUM;S
3.2.1.04.001;121;Salários;7249;8260;10229;13275;14249;14252;15749;17229;20299;20249;21774;21769;184583;;S
3.2.1.04.002;122;Comissões;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.04.003;123;Férias;805;918;1137;1475;1583;1584;1750;1914;2255;2250;2419;2419;20509;;S
3.2.1.04.004;124;13o Salário;604;688;852;1106;1187;1188;1312;1436;1692;1687;1814;1814;15382;;S
3.2.1.04.005;125;INSS;2407;2743;3397;4408;4731;4733;5229;5721;6740;6724;7230;7229;61292;;S
3.2.1.04.006;126;FGTS;736;839;1039;1348;1447;1447;1599;1749;2061;2056;2211;2210;18740;;S
3.2.1.04.007;127;Vale Transporte;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;31200;;S
3.2.1.04.008;128;Vale Refeição;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;35400;;S
3.2.1.04.009;129;Treinamento;0;0;0;0;10000;10000;10000;10000;6500;6500;6500;6500;66000;;S
3.2.1.04.010;130;Estagiários;12300;15300;15300;15300;15300;15300;15300;15300;12300;12300;12300;12300;168600;;S
3.2.1.04.011;131;Assistência Médica;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;20400;;S
3.2.1.04.012;132;Benefícios;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;551;Indenizações Trabalhistas;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
3.2.1.04.013;209;Pro-Labore;0;0;0;0;0;0;0;0;0;0;0;0;0;;S
;9996;Resultado Bruto;402513;444348;514193;520992;553477;578156;629600;682623;815964;849515;934734;943476;7869591;F: 1050 - 110;N
3.2.2;2398;( - ) Despesas Operacionais;253239;240750;282269;313647;288222;314681;325631;340992;329898;359553;371661;334507;3755049;F: 133 + 156 + 312;S
